Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree,Training RAM 1st,Training RAM 25%,Training RAM 50%,Training RAM 75%,Total RAM,gc RAM
'bosch','xgboost-depthwise','sampling',1,4,927.7934,0.7234308,684,1000,0.04,63,6,1,1,1,2732097536,2826153984,2826924032,2828390400,2839920640,2823663616
'bosch','xgboost-depthwise','sampling',2,4,853.7263,0.7216269,445,1000,0.04,63,6,1,0.8,1,3761192960,3887308800,3889651712,3890511872,3889061888,2813952000
'bosch','xgboost-depthwise','sampling',3,4,787.9449,0.7219472,552,1000,0.04,63,6,1,0.6,1,3735183360,3860705280,3864821760,3866488832,3891531776,2825601024
'bosch','xgboost-depthwise','sampling',4,4,700.2001,0.7132093,234,1000,0.04,63,6,1,0.4,1,3725209600,3845505024,3841802240,3859611648,3868176384,2792628224
'bosch','xgboost-lossguide','leaves',1,3,1398.44,0.7124592,1995,2000,0.02,7,0,1,1,1,2578325504,2578079744,2586685440,2586439680,2588946432,2572689408
'bosch','xgboost-lossguide','leaves',2,3,1140.499,0.7211853,1462,1500,0.02,15,0,1,1,1,3429683200,3435544576,3435298816,3436032000,3438788608,2609930240
'bosch','xgboost-lossguide','leaves',3,3,973.3476,0.7237858,426,1000,0.02,31,0,1,1,1,3538743296,3539238912,3545649152,3546370048,3527811072,2682376192
'bosch','xgboost-lossguide','leaves',4,3,1277.612,0.7261027,405,1000,0.02,63,0,1,1,1,3754049536,3758931968,3760820224,3762212864,3751133184,2833227776
'bosch','xgboost-lossguide','leaves',5,3,918.7442,0.7284439,404,500,0.02,127,0,1,1,1,4191649792,4187156480,4197797888,4192509952,4204335104,3117445120
'bosch','xgboost-lossguide','leaves',6,3,1064.257,0.7287067,316,400,0.02,255,0,1,1,1,5046734848,5042634752,5054947328,5050900480,5062967296,3696500736
'bosch','xgboost-lossguide','leaves',7,3,1716.665,0.7275439,343,400,0.02,511,0,1,1,1,6373662720,6772305920,6776705024,6781104128,6791921664,4858216448
'bosch','xgboost-lossguide','leaves',8,3,2694.904,0.7272748,330,400,0.02,1023,0,1,1,1,7536173056,10218532864,10226634752,10230374400,10259218432,7178280960
'bosch','xgboost-lossguide','leaves',9,3,4179.421,0.7149108,400,400,0.02,2047,0,1,1,1,9855303680,17114894336,17122254848,17135685632,17192443904,11831357440
'bosch','xgboost-lossguide','leaves',10,3,4812.196,0.7101236,400,400,0.02,4095,0,1,1,1,14484381696,22604308480,27565129728,27581280256,27634970624,17691435008
'bosch','xgboost-lossguide','depth',1,3,1439.824,0.7145333,1920,2000,0.02,7,3,1,1,1,2578313216,2578071552,2586677248,2586431488,2588839936,2572582912
'bosch','xgboost-lossguide','depth',2,3,1137.436,0.7198081,1425,1500,0.02,15,4,1,1,1,3430133760,3435962368,3435638784,3436433408,3438809088,2609451008
'bosch','xgboost-lossguide','depth',3,3,886.6633,0.7214592,977,1000,0.02,31,5,1,1,1,3524927488,3543916544,3534249984,3545038848,3546816512,2681053184
'bosch','xgboost-lossguide','depth',4,3,1001.852,0.7223834,723,1000,0.02,63,6,1,1,1,3657768960,3752570880,3753066496,3754049536,3749007360,2819117056
'bosch','xgboost-lossguide','depth',5,3,649.4425,0.7191517,399,500,0.02,127,7,1,1,1,3844358144,3946848256,4090982400,4090068992,4091940864,3019333632
'bosch','xgboost-lossguide','depth',6,3,627.4408,0.7250211,328,400,0.02,255,8,1,1,1,4106735616,4295290880,4481028096,4517883904,4502663168,3248099328
'bosch','xgboost-lossguide','depth',7,3,730.7876,0.7248398,391,400,0.02,511,9,1,1,1,4384583680,4697989120,4995907584,5008060416,4992782336,3517132800
'bosch','xgboost-lossguide','depth',8,3,820.192,0.7228884,308,400,0.02,1023,10,1,1,1,4727021568,5191962624,5695528960,5697527808,5688901632,3953610752
'bosch','xgboost-lossguide','depth',9,3,935.0631,0.7272562,343,400,0.02,2047,11,1,1,1,5266157568,5788987392,6380462080,6521692160,6518292480,4337475584
'bosch','xgboost-lossguide','depth',10,3,1027.852,0.7256541,338,400,0.02,4095,12,1,1,1,5733056512,6409379840,7212793856,7232995328,7237533696,4664156160
'bosch','xgboost-lossguide','hessian',1,3,843.8099,0.7228884,308,400,0.02,1023,10,1,1,1,2970247168,3434360832,3939512320,3942305792,3954241536,3943919616
